sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_15,RUL,failure_soon
645.297,1603.894,1429.711,547.461,47.929,8.55,3,1
640.642,1595.026,1394.546,548.153,48.127,8.564,68,0
644.885,1592.338,1399.279,548.851,47.405,8.419,126,0
640.218,1596.218,1416.113,552.722,47.865,8.387,85,0
639.542,1591.959,1404.99,553.512,47.502,8.463,138,0
646.334,1589.451,1402.918,555.201,48.203,8.386,114,0
645.49,1604.112,1399.807,542.446,47.518,8.489,25,1
639.228,1586.528,1391.694,552.445,47.505,8.55,119,0
643.423,1593.777,1418.947,546.997,47.292,8.752,17,1
644.299,1604.926,1403.934,547.871,47.71,8.705,85,0
648.344,1594.655,1404.046,548.984,47.923,8.497,19,1
640.181,1570.966,1387.013,555.514,47.108,8.36,142,0
636.186,1581.995,1412.893,551.098,47.755,8.542,116,0
645.099,1582.124,1408.176,551.153,47.94,8.651,84,0
639.598,1605.027,1405.38,549.042,47.834,8.615,20,1
645.603,1600.428,1414.389,540.768,47.329,8.583,23,1
647.174,1588.95,1417.4,548.1,47.832,8.657,71,0
644.589,1597.147,1406.465,554.605,48.285,8.476,22,1
642.268,1588.002,1396.591,551.316,47.87,8.369,133,0
639.955,1606.261,1407.225,550.787,47.733,8.548,70,0
640.191,1587.872,1401.513,550.456,47.504,8.383,115,0
637.198,1595.035,1410.802,551.374,47.754,8.656,60,0
641.28,1597.69,1405.284,550.798,47.654,8.317,61,0
646.837,1596.64,1415.71,547.409,47.096,8.732,4,1
644.559,1603.949,1419.479,544.655,47.703,8.167,60,0
640.98,1577.183,1399.972,546.12,47.587,8.221,92,0
644.127,1601.72,1382.054,550.861,47.299,8.326,89,0
644.305,1585.048,1419.456,553.247,47.37,8.611,33,0
643.021,1598.975,1420.802,550.922,48.268,8.451,54,0
643.328,1593.294,1408.272,544.579,47.363,8.253,62,0
641.833,1593.707,1389.646,549.451,48.299,8.474,70,0
637.879,1591.174,1401.124,550.053,47.243,8.596,112,0
643.738,1597.715,1411.981,547.92,46.906,8.324,61,0
643.758,1601.379,1407.285,546.852,48.153,8.709,47,0
646.144,1582.964,1421.767,549.335,49.131,8.574,0,1
648.259,1600.955,1433.65,546.553,47.705,8.422,14,1
645.067,1577.698,1404.629,550.155,46.915,8.649,106,0
643.971,1579.767,1386.121,553.253,47.997,8.362,140,0
639.462,1582.014,1413.208,554.689,47.844,8.614,117,0
646.944,1589.011,1414.418,547.732,47.508,8.372,70,0
641.083,1588.155,1407.981,549.379,48.379,8.634,141,0
644.245,1588.083,1403.274,555.412,48.018,8.548,101,0
642.122,1589.656,1408.886,548.742,47.819,8.563,35,0
648.269,1589.607,1412.024,543.587,48.598,8.309,14,1
641.023,1588.162,1386.815,547.878,46.859,8.564,64,0
642.336,1589.709,1399.698,550.075,47.408,8.308,110,0
644.354,1605.95,1418.336,541.75,47.638,8.776,6,1
641.999,1584.453,1387.283,554.384,48.038,8.71,86,0
642.839,1590.139,1424.574,545.939,47.543,8.609,6,1
646.162,1598.69,1419.237,542.493,47.876,8.561,8,1
644.464,1589.972,1406.46,549.083,47.948,8.383,82,0
642.406,1596.861,1410.291,550.086,47.394,8.278,68,0
644.342,1586.816,1407.002,552.607,47.22,8.499,90,0
643.976,1595.515,1429.027,549.619,48.287,8.483,18,1
646.136,1587.193,1415.407,550.338,47.611,8.475,90,0
643.497,1596.521,1421.922,547.68,48.036,8.533,44,0
646.13,1585.004,1404.559,554.159,47.892,8.434,87,0
644.657,1592.798,1413.129,550.263,47.288,8.355,60,0
639.543,1589.918,1419.5,549.832,47.441,8.634,23,1
643.809,1591.367,1405.897,545.221,47.854,8.535,66,0
643.45,1592.37,1418.401,546.494,47.981,8.603,95,0
643.409,1596.708,1427.148,544.978,48.66,8.47,62,0
641.382,1587.089,1414.603,557.144,47.85,8.613,134,0
643.683,1584.8,1413.539,548.933,47.729,8.678,65,0
642.5,1586.317,1415.181,550.637,47.217,8.543,71,0
640.601,1581.018,1407.672,548.275,47.405,8.646,90,0
641.161,1585.596,1394.182,550.981,47.295,8.428,147,0
641.537,1582.108,1398.561,548.482,47.194,8.534,120,0
642.935,1591.824,1410.764,551.705,47.471,8.462,72,0
645.574,1587.33,1399.126,550.675,47.588,8.463,114,0
645.064,1587.86,1399.144,545.427,47.504,8.578,88,0
647.551,1603.842,1417.402,548.499,49.0,8.797,2,1
640.593,1594.997,1400.14,551.974,47.61,8.398,145,0
639.721,1596.436,1404.67,552.532,47.244,8.673,110,0
641.806,1581.264,1408.366,554.048,47.143,8.469,117,0
644.511,1595.213,1406.091,550.745,47.774,8.385,98,0
646.365,1598.085,1418.417,548.637,47.148,8.27,35,0
644.21,1604.376,1403.65,550.292,48.04,8.466,76,0
647.306,1607.389,1395.415,548.227,46.519,8.525,120,0
644.401,1590.917,1409.025,549.106,47.849,8.428,95,0
648.348,1609.183,1429.146,543.648,48.486,8.013,5,1
641.919,1580.275,1415.06,556.652,48.025,8.517,144,0
643.256,1583.461,1386.906,548.462,46.599,8.308,117,0
643.416,1599.653,1406.485,552.532,48.511,8.472,47,0
643.522,1590.207,1408.117,546.299,48.005,8.576,44,0
640.978,1577.037,1402.979,548.927,46.13,8.498,124,0
638.745,1571.395,1400.533,550.506,47.548,8.508,145,0
644.818,1584.94,1431.418,552.101,48.669,8.56,41,0
648.779,1601.084,1426.649,549.349,48.262,8.675,13,1
642.24,1587.322,1408.482,549.826,47.331,8.507,45,0
639.719,1602.185,1406.535,550.634,47.377,8.614,45,0
648.442,1596.993,1412.897,542.68,48.562,8.57,10,1
647.468,1592.926,1422.298,543.198,48.923,8.539,14,1
642.993,1591.727,1416.541,547.537,47.894,8.736,71,0
646.07,1591.222,1396.402,544.33,47.265,8.74,39,0
646.118,1590.132,1403.759,550.317,47.231,8.481,111,0
642.318,1587.202,1414.396,545.945,48.407,8.542,40,0
641.769,1577.303,1404.2,549.003,47.478,8.547,82,0
647.134,1584.991,1409.097,545.667,48.376,8.501,38,0
645.552,1596.878,1412.637,551.273,47.993,8.417,133,0
642.715,1590.169,1401.405,550.77,46.587,8.528,111,0
646.274,1595.131,1409.881,545.143,48.114,8.597,1,1
642.808,1596.984,1418.814,550.467,47.914,8.644,64,0
643.889,1570.429,1403.497,552.833,47.687,8.356,127,0
642.949,1585.161,1425.395,551.805,47.882,8.318,88,0
645.573,1582.218,1400.863,550.071,48.688,8.405,58,0
645.368,1592.683,1407.094,553.117,46.625,8.42,133,0
643.411,1589.004,1409.087,550.645,48.002,8.553,103,0
643.678,1600.952,1410.07,549.349,47.283,8.659,24,1
646.003,1602.93,1403.531,551.004,46.998,8.569,89,0
639.661,1579.345,1397.451,550.811,47.97,8.466,105,0
651.224,1605.126,1405.909,546.65,48.234,8.743,8,1
644.967,1604.374,1414.287,546.164,47.346,8.633,21,1
643.672,1584.391,1413.244,550.068,47.621,8.614,89,0
637.28,1588.003,1415.384,552.574,48.122,8.366,109,0
636.502,1594.975,1402.588,553.668,46.931,8.684,123,0
643.492,1576.0,1419.966,553.403,47.137,8.49,69,0
642.485,1592.274,1410.997,547.434,47.315,8.453,94,0
642.697,1590.445,1397.16,550.059,48.123,8.368,121,0
644.933,1583.58,1400.826,553.896,46.84,8.375,144,0
643.917,1597.109,1425.449,544.757,47.729,8.443,34,0
647.991,1593.965,1410.067,547.711,47.794,8.753,43,0
644.104,1588.073,1395.062,549.982,47.434,8.542,86,0
640.946,1572.506,1387.51,551.839,48.339,8.522,135,0
643.45,1589.942,1402.872,551.028,46.913,8.539,118,0
640.73,1572.968,1392.411,550.272,47.91,8.71,116,0
644.629,1594.024,1408.762,550.038,48.069,8.413,63,0
643.631,1571.294,1399.272,547.941,46.847,8.493,64,0
645.778,1594.929,1422.608,546.263,48.025,8.661,16,1
642.951,1575.265,1400.649,551.441,47.425,8.203,120,0
644.559,1585.177,1403.505,545.902,47.877,8.192,48,0
642.944,1588.044,1395.053,547.425,47.587,8.259,142,0
644.149,1593.517,1405.804,546.512,47.674,8.534,37,0
646.8,1597.373,1396.112,552.338,47.796,8.48,69,0
638.333,1589.976,1417.662,541.378,48.166,8.444,24,1
639.108,1591.515,1397.299,554.18,48.299,8.388,119,0
645.413,1597.528,1406.018,546.532,47.668,8.922,2,1
638.702,1577.672,1408.928,546.836,48.24,8.388,117,0
640.342,1586.717,1405.209,554.644,46.304,8.523,148,0
641.713,1595.346,1395.41,548.264,47.626,8.526,35,0
644.834,1610.622,1411.005,547.431,48.376,8.498,6,1
645.912,1593.731,1400.512,550.442,48.284,8.457,101,0
641.764,1584.921,1401.86,550.066,48.374,8.482,102,0
643.601,1599.826,1409.93,550.73,48.428,8.562,23,1
646.146,1601.207,1424.933,553.417,46.996,8.58,66,0
648.059,1596.427,1423.245,555.362,48.236,8.714,2,1
639.954,1592.962,1405.915,548.186,48.011,8.217,78,0
642.091,1587.533,1401.923,552.797,47.904,8.399,130,0
641.514,1591.067,1400.604,551.553,47.057,8.485,135,0
643.021,1594.04,1416.366,550.788,48.162,8.417,65,0
645.138,1594.813,1395.076,545.53,47.436,8.593,102,0
642.178,1588.749,1415.852,545.589,47.539,8.533,90,0
641.037,1582.787,1400.255,555.491,47.354,8.318,147,0
644.802,1587.459,1403.22,543.803,47.672,8.705,120,0
645.182,1607.609,1405.683,545.659,47.286,8.32,71,0
641.884,1573.821,1416.677,552.497,47.324,8.351,102,0
644.06,1584.567,1403.592,549.314,48.324,8.452,73,0
641.461,1582.172,1409.54,547.112,46.789,8.37,108,0
641.484,1577.383,1384.708,555.321,46.86,8.349,140,0
638.372,1586.716,1411.405,553.728,46.927,8.475,114,0
644.529,1587.495,1417.926,546.627,48.597,8.549,99,0
643.582,1587.482,1411.914,540.722,47.383,8.807,34,0
641.456,1589.502,1408.86,551.149,48.232,8.256,115,0
640.472,1587.968,1393.115,554.219,47.014,8.421,105,0
650.183,1591.799,1402.921,549.409,48.15,8.618,77,0
642.407,1592.929,1396.401,552.953,47.298,8.187,92,0
642.005,1586.789,1401.405,552.932,46.982,8.735,141,0
644.404,1590.324,1402.983,545.562,47.407,8.571,75,0
641.521,1595.004,1403.25,545.289,48.698,8.703,87,0
645.321,1609.571,1416.87,546.326,48.047,8.444,47,0
643.54,1571.914,1401.418,544.943,46.658,8.356,146,0
643.099,1587.905,1407.37,548.233,46.958,8.504,104,0
641.784,1581.217,1392.26,555.496,47.856,8.486,131,0
642.263,1591.108,1428.666,552.18,47.206,8.237,108,0
641.141,1587.454,1407.335,553.073,47.379,8.393,128,0
642.252,1586.669,1412.186,552.296,47.657,8.845,50,0
643.231,1601.962,1416.017,550.672,47.506,8.641,62,0
639.596,1591.55,1402.994,552.701,47.943,8.524,66,0
644.33,1583.769,1392.032,553.165,47.501,8.473,139,0
639.528,1608.459,1399.175,549.645,46.899,8.544,75,0
644.697,1596.731,1412.803,545.839,47.896,8.398,68,0
639.747,1589.196,1387.084,550.218,47.724,8.239,136,0
642.225,1572.772,1415.625,548.616,47.68,8.46,105,0
641.179,1579.728,1407.562,555.017,47.863,8.515,98,0
646.744,1581.364,1409.816,546.772,48.066,8.423,82,0
639.657,1599.979,1418.264,550.175,47.768,8.423,29,1
638.71,1577.997,1414.249,554.842,46.54,8.52,144,0
649.169,1588.584,1411.414,543.934,48.019,8.769,18,1
644.764,1602.521,1416.424,545.873,47.805,8.632,6,1
640.699,1591.694,1388.616,548.38,48.086,8.486,143,0
645.454,1602.624,1397.488,547.25,47.406,8.585,22,1
643.422,1592.463,1404.39,549.759,47.697,8.525,110,0
645.895,1590.723,1402.824,554.622,48.171,8.496,94,0
647.208,1599.241,1404.744,543.104,48.141,8.371,4,1
638.688,1582.249,1400.636,548.552,47.328,8.45,140,0
644.391,1593.336,1404.402,544.387,47.771,8.715,19,1
644.253,1582.686,1405.165,544.935,48.232,8.606,42,0
637.961,1590.23,1402.531,554.514,47.241,8.364,117,0
642.847,1584.562,1406.074,553.606,47.416,8.484,124,0
641.817,1577.596,1400.582,556.065,47.565,8.046,123,0
644.402,1605.867,1405.828,543.609,48.223,8.72,29,1
641.543,1591.819,1390.19,548.769,47.872,8.359,131,0
644.642,1590.474,1410.879,548.634,47.658,8.484,49,0
641.645,1602.057,1409.83,546.591,46.938,8.375,66,0
640.438,1588.318,1385.719,552.957,47.117,8.418,123,0
641.314,1606.72,1414.547,548.659,47.587,8.504,23,1
641.798,1587.237,1412.505,551.648,46.93,8.394,126,0
646.445,1590.877,1408.161,546.261,47.602,8.558,51,0
638.793,1585.098,1394.341,551.828,48.15,8.41,91,0
639.622,1585.451,1396.409,553.571,47.267,8.522,115,0
647.634,1581.045,1404.213,545.893,47.237,8.166,61,0
642.161,1597.975,1405.299,551.467,47.58,8.633,35,0
645.841,1596.354,1411.418,543.986,48.386,8.535,24,1
646.998,1590.759,1427.707,545.841,48.35,8.502,53,0
645.478,1589.538,1406.522,550.33,49.074,8.434,37,0
642.223,1590.55,1408.087,555.91,47.522,8.47,137,0
641.833,1587.845,1407.377,550.992,46.557,8.355,141,0
642.563,1588.545,1398.356,553.337,46.773,8.451,127,0
645.143,1603.857,1410.063,550.185,48.366,8.425,20,1
647.133,1588.499,1425.696,547.761,48.131,8.586,52,0
644.682,1585.124,1417.771,545.548,47.899,8.346,74,0
645.335,1596.345,1416.844,545.874,48.83,8.483,19,1
643.643,1602.76,1415.512,551.436,48.859,8.548,29,1
641.148,1581.658,1405.062,551.625,46.922,8.605,149,0
641.386,1582.799,1395.308,552.397,47.142,8.466,140,0
641.384,1598.382,1417.89,543.853,48.371,8.459,27,1
641.622,1593.047,1428.537,546.204,48.125,8.763,17,1
640.695,1598.503,1423.307,538.628,48.306,8.923,1,1
643.516,1593.288,1431.303,547.063,48.035,8.529,81,0
642.711,1584.316,1392.225,553.614,48.039,8.679,116,0
643.88,1588.948,1393.885,548.131,47.809,8.423,109,0
642.907,1603.039,1413.893,551.215,48.319,8.319,41,0
640.04,1590.496,1408.95,550.762,47.647,8.526,113,0
640.253,1602.367,1406.597,547.197,47.475,8.419,48,0
644.686,1587.113,1415.721,547.084,48.253,8.427,71,0
643.266,1593.133,1419.202,553.93,47.895,8.352,79,0
643.663,1586.934,1421.303,545.379,47.924,8.566,65,0
642.405,1598.306,1407.225,555.583,47.33,8.407,75,0
644.765,1584.851,1410.253,553.556,47.102,8.477,97,0
639.192,1604.032,1419.424,547.138,47.786,8.474,0,1
639.231,1580.727,1419.836,555.467,48.003,8.547,135,0
639.79,1598.528,1392.093,552.057,47.147,8.442,138,0
642.162,1594.164,1413.551,551.973,47.727,8.175,114,0
646.174,1580.595,1402.026,556.3,47.655,8.588,141,0
640.531,1595.373,1420.968,545.381,48.385,8.734,36,0
644.284,1588.907,1414.757,549.852,47.273,8.521,149,0
641.599,1588.135,1398.711,553.536,47.667,8.31,122,0
643.32,1591.353,1405.406,547.018,47.797,8.73,61,0
641.538,1595.807,1417.287,551.745,47.594,8.513,31,0
643.108,1579.757,1410.661,551.809,47.437,8.515,148,0
646.802,1580.371,1400.549,552.987,47.097,8.585,126,0
644.277,1590.262,1408.491,552.722,47.7,8.671,62,0
642.336,1589.501,1422.017,554.782,47.009,8.233,138,0
645.219,1587.378,1410.49,553.566,48.253,8.206,75,0
642.534,1591.578,1418.406,550.93,47.494,8.605,47,0
641.469,1604.86,1415.973,551.504,47.573,8.596,20,1
642.587,1592.334,1406.214,552.106,48.226,8.458,108,0
639.92,1586.713,1401.547,547.807,47.76,8.671,89,0
642.458,1578.79,1398.918,551.979,47.405,8.563,134,0
642.505,1599.796,1406.266,542.208,47.931,8.634,25,1
647.64,1598.069,1407.588,547.346,47.272,8.361,30,1
643.83,1595.462,1424.771,541.139,47.772,8.457,20,1
643.019,1607.152,1417.249,547.832,47.294,8.363,81,0
640.791,1577.147,1392.472,552.34,47.418,8.358,142,0
645.516,1588.228,1429.634,547.226,48.223,8.332,15,1
646.558,1593.657,1423.084,545.322,48.606,8.424,20,1
638.808,1590.459,1406.748,548.197,47.535,8.614,35,0
644.487,1590.339,1423.907,558.091,48.836,8.674,74,0
645.312,1591.908,1409.517,550.571,47.623,8.627,28,1
644.348,1585.63,1410.061,544.712,47.69,8.419,89,0
640.802,1587.01,1418.937,549.158,47.657,8.593,44,0
641.717,1592.068,1407.679,553.278,47.259,8.373,144,0
645.348,1603.335,1401.806,548.362,47.972,8.432,21,1
646.565,1591.792,1416.636,556.212,46.714,8.517,79,0
643.632,1583.604,1405.407,547.337,48.851,8.564,13,1
644.769,1589.17,1409.317,543.918,48.034,8.427,62,0
639.747,1599.478,1389.316,549.426,48.355,8.492,92,0
645.82,1596.059,1414.411,543.387,47.311,8.674,14,1
643.342,1579.754,1394.576,550.059,46.578,8.319,131,0
642.856,1604.98,1416.814,548.246,47.634,8.629,25,1
643.924,1580.038,1411.924,553.51,48.231,8.383,138,0
641.403,1588.217,1398.156,551.629,47.546,8.33,149,0
640.371,1593.769,1410.915,545.911,47.943,8.483,68,0
639.748,1602.162,1402.067,549.901,47.742,8.44,12,1
646.114,1600.083,1423.977,547.066,47.992,8.792,21,1
640.535,1578.303,1410.863,553.865,47.578,8.23,138,0
644.498,1590.147,1411.523,552.17,48.198,8.353,43,0
645.0,1587.149,1413.821,544.065,48.025,8.647,47,0
643.048,1593.895,1401.372,545.557,47.758,8.265,67,0
642.468,1597.371,1407.741,550.6,46.233,8.491,94,0
645.33,1608.5,1423.008,550.967,49.077,8.81,12,1
645.594,1593.701,1393.677,547.331,47.043,8.401,46,0
639.873,1593.46,1410.857,544.528,47.698,8.435,91,0
642.861,1585.593,1420.31,550.493,47.941,8.631,44,0
641.109,1590.986,1401.981,552.163,47.885,8.475,94,0
643.238,1585.378,1424.553,545.289,48.315,8.475,40,0
648.12,1592.568,1428.703,546.067,47.157,8.575,18,1
646.092,1597.88,1411.54,545.399,47.716,8.762,13,1
640.973,1595.576,1403.537,551.134,47.133,8.521,110,0
644.247,1585.886,1409.259,546.345,46.847,8.56,28,1
643.34,1584.293,1410.146,551.499,47.64,8.32,92,0
644.622,1587.23,1432.745,547.896,47.753,8.677,6,1
641.578,1590.779,1410.496,560.855,47.272,8.483,138,0
643.154,1582.72,1402.436,548.041,47.131,8.419,119,0
649.347,1592.561,1415.105,549.471,47.285,8.711,22,1
643.724,1589.526,1414.428,551.467,47.67,8.567,37,0
644.648,1598.328,1418.455,546.13,47.808,8.511,5,1
641.805,1593.096,1418.291,548.771,47.476,8.458,85,0
644.222,1586.816,1393.73,555.359,47.14,8.376,137,0
639.906,1596.919,1403.493,546.314,47.762,8.572,95,0
644.632,1590.764,1409.62,551.82,47.115,8.676,30,1
640.229,1582.678,1404.678,544.965,48.17,8.405,122,0
645.66,1592.781,1407.966,546.193,48.106,8.612,41,0
644.901,1580.649,1404.65,549.659,48.568,8.416,65,0
640.694,1596.107,1401.397,548.679,47.928,8.483,107,0
646.142,1589.233,1418.834,554.401,49.481,8.509,25,1
642.157,1585.508,1412.816,553.058,48.177,8.451,99,0
647.386,1598.497,1405.156,548.801,47.572,8.522,20,1
642.235,1587.512,1404.402,544.314,47.729,8.549,22,1
640.349,1588.346,1413.563,558.832,47.573,8.456,128,0
646.204,1598.183,1423.358,541.248,47.798,8.135,9,1
641.021,1594.839,1382.075,547.791,46.885,8.534,88,0
643.765,1597.764,1407.604,553.088,47.689,8.515,125,0
643.838,1591.99,1405.398,554.573,47.699,8.65,98,0
644.69,1592.093,1413.184,548.79,48.191,8.67,26,1
644.107,1587.868,1403.206,551.527,46.669,8.502,75,0
643.593,1590.548,1400.549,546.905,48.123,8.54,21,1
643.42,1587.261,1401.873,551.502,47.73,8.461,78,0
645.356,1591.909,1413.156,549.519,48.48,8.335,35,0
642.977,1575.035,1411.756,550.828,48.14,8.339,144,0
643.036,1604.433,1427.591,541.869,48.201,8.598,14,1
646.737,1599.277,1403.96,549.915,47.866,8.6,15,1
644.507,1581.715,1408.413,553.192,46.511,8.752,48,0
641.802,1583.428,1400.628,549.057,47.328,8.592,91,0
642.827,1577.092,1429.901,547.409,48.148,8.643,24,1
644.372,1584.392,1389.453,546.929,47.797,8.568,95,0
641.986,1588.374,1393.872,550.646,47.877,8.218,143,0
641.556,1593.489,1388.551,554.489,47.395,8.371,139,0
643.467,1600.206,1398.814,556.425,46.133,8.44,113,0
643.534,1586.586,1404.04,545.179,46.817,8.323,73,0
645.137,1593.324,1410.481,552.0,48.231,8.295,143,0
641.59,1597.692,1399.218,545.257,47.955,8.605,13,1
646.718,1587.963,1398.808,553.1,47.689,8.69,55,0
637.894,1590.064,1406.86,548.646,47.427,8.347,143,0
645.15,1587.052,1418.412,548.548,47.44,8.383,57,0
647.448,1601.603,1412.241,544.567,47.678,8.561,24,1
643.705,1594.308,1404.61,543.091,48.438,8.322,54,0
643.755,1585.134,1407.857,551.859,47.298,8.539,124,0
643.428,1585.488,1423.168,548.201,47.127,8.626,99,0
642.133,1600.439,1402.149,548.21,47.405,8.383,74,0
644.039,1585.891,1407.067,552.023,47.4,8.404,99,0
648.804,1589.241,1416.431,548.743,47.196,8.32,8,1
643.067,1585.076,1418.499,543.649,48.583,8.493,14,1
646.615,1598.81,1409.486,544.779,48.374,8.802,14,1
639.62,1579.57,1398.508,551.781,48.079,8.414,133,0
643.496,1584.451,1406.369,544.198,47.163,8.606,27,1
644.714,1598.653,1381.56,552.055,47.092,8.62,145,0
644.616,1599.434,1414.19,546.819,47.598,8.679,46,0
647.437,1591.526,1425.984,550.3,48.271,8.521,1,1
641.774,1585.305,1397.083,555.793,48.177,8.176,144,0
644.837,1595.622,1400.916,545.969,47.4,8.518,56,0
643.872,1584.339,1418.3,551.699,47.416,8.159,129,0
643.16,1586.387,1397.678,547.066,47.905,8.283,64,0
641.408,1588.179,1407.02,553.918,47.441,8.684,133,0
643.607,1605.492,1408.922,542.644,48.389,8.695,2,1
640.493,1584.745,1403.441,552.766,48.519,8.493,124,0
640.674,1591.875,1401.94,549.76,47.44,8.354,86,0
639.923,1584.487,1398.082,548.198,47.598,8.766,112,0
640.865,1588.72,1398.315,544.914,47.771,8.238,129,0
643.344,1597.442,1402.699,545.87,47.474,8.429,44,0
645.719,1592.048,1408.403,544.565,47.963,8.479,54,0
638.85,1584.784,1405.764,553.358,47.969,8.453,107,0
641.769,1591.656,1396.764,552.051,47.677,8.264,125,0
646.19,1597.215,1418.369,547.946,47.406,8.703,36,0
644.135,1603.205,1408.052,549.285,47.63,8.466,6,1
643.656,1587.062,1403.582,547.211,46.719,8.584,137,0
647.195,1602.551,1403.976,548.345,46.709,8.484,35,0
645.132,1600.953,1426.816,545.0,47.979,8.636,32,0
642.684,1598.447,1420.088,549.152,48.97,8.442,38,0
645.867,1601.102,1416.932,546.419,48.369,8.367,36,0
643.015,1583.43,1418.351,552.091,48.087,8.234,106,0
642.288,1595.886,1420.431,547.346,47.916,8.651,37,0
642.279,1600.579,1422.052,556.4,47.787,8.682,65,0
649.1,1591.136,1391.512,548.656,47.685,8.365,86,0
642.424,1581.298,1390.308,549.676,46.69,8.103,130,0
643.486,1592.905,1417.647,549.862,47.341,8.365,54,0
643.455,1587.969,1411.072,551.865,47.687,8.28,110,0
643.673,1604.693,1408.61,549.059,47.359,8.409,19,1
647.749,1594.249,1405.386,541.495,48.064,8.559,2,1
643.425,1598.093,1408.447,551.77,47.794,8.613,65,0
640.44,1599.125,1409.971,548.789,47.858,8.292,111,0
646.908,1597.458,1415.098,549.127,48.319,8.423,30,1
642.347,1594.032,1426.666,550.44,48.063,8.578,57,0
643.984,1599.741,1412.527,547.75,48.036,8.749,29,1
646.577,1590.424,1417.693,543.387,47.421,8.4,73,0
641.192,1593.37,1416.538,547.06,46.842,8.582,68,0
640.478,1590.797,1391.467,553.562,47.795,8.339,83,0
643.205,1587.074,1408.431,552.345,47.45,8.612,64,0
644.875,1585.486,1411.87,549.704,47.075,8.543,54,0
640.55,1601.774,1409.477,546.367,48.136,8.66,19,1
645.3,1593.092,1388.311,555.256,46.78,8.262,115,0
644.051,1582.798,1395.05,548.066,47.602,8.584,82,0
643.704,1583.306,1411.042,548.368,47.88,8.414,45,0
639.617,1593.835,1440.926,557.741,46.543,8.603,26,1
642.112,1577.233,1402.647,549.897,46.007,8.523,99,0
640.406,1587.447,1406.974,550.123,47.777,8.392,99,0
642.953,1594.337,1399.282,548.737,47.174,8.744,93,0
639.497,1588.143,1392.14,552.29,47.312,8.267,118,0
646.305,1597.324,1405.314,544.265,48.009,8.302,6,1
644.371,1591.025,1415.749,546.281,48.251,8.388,13,1
639.337,1589.996,1387.684,554.311,48.171,8.535,147,0
646.013,1600.989,1432.171,554.011,48.305,8.601,12,1
644.412,1580.999,1400.093,544.935,47.968,8.885,45,0
637.877,1584.604,1404.47,550.848,48.388,8.396,127,0
637.982,1586.342,1408.549,552.715,46.956,8.352,136,0
642.836,1596.307,1424.491,545.056,47.669,8.507,67,0
644.968,1587.609,1403.778,550.373,47.877,8.421,72,0
641.415,1582.421,1404.844,547.99,48.278,8.443,95,0
642.208,1593.501,1427.63,549.965,47.784,8.592,61,0
645.432,1607.744,1397.076,541.782,48.601,8.602,20,1
645.901,1598.078,1406.935,545.145,47.951,8.622,8,1
647.138,1599.72,1418.532,544.713,48.258,8.491,5,1
648.309,1609.387,1416.863,549.98,48.45,8.46,13,1
644.155,1600.81,1418.247,545.285,48.632,8.578,5,1
644.861,1585.833,1409.901,549.274,47.731,8.532,40,0
640.579,1601.413,1411.117,553.414,46.989,8.456,123,0
641.171,1595.788,1394.049,548.995,47.688,8.278,140,0
640.629,1593.141,1402.18,555.306,48.657,8.39,83,0
