timestamp,unit_number,time_cycles,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_15
2024-01-02 01:00:00,1,26,642.2,1589.31,1405.46,553.23,47.16,8.4
2024-01-02 02:00:00,1,27,641.83,1587.88,1407.29,554.28,47.23,8.51
2024-01-02 03:00:00,1,28,642.3,1591.34,1390.84,554.56,47.87,8.48
2024-01-02 04:00:00,1,29,642.03,1604.8,1387.22,553.97,47.55,8.44
2024-01-02 05:00:00,1,30,642.13,1579.77,1412.6,554.83,47.77,8.45
2024-01-02 06:00:00,1,31,642.05,1595.16,1404.16,553.22,47.57,8.46
2024-01-02 07:00:00,1,32,642.81,1581.43,1394.51,552.92,47.58,8.37
2024-01-02 08:00:00,1,33,642.26,1588.35,1415.29,552.58,47.86,8.44
2024-01-02 09:00:00,1,34,641.96,1597.79,1402.45,554.52,47.42,8.42
2024-01-02 10:00:00,1,35,642.55,1591.71,1412.11,553.99,47.61,8.41
2024-01-02 11:00:00,1,36,641.95,1584.94,1402.19,553.54,47.45,8.44
2024-01-02 12:00:00,1,37,642.4,1587.19,1420.22,553.72,47.46,8.52
2024-01-02 13:00:00,1,38,641.76,1595.64,1417.56,552.85,47.51,8.48
2024-01-02 14:00:00,1,39,641.97,1587.27,1399.62,554.97,47.67,8.43
2024-01-02 15:00:00,1,40,642.45,1593.03,1410.7,553.56,47.46,8.48
2024-01-02 16:00:00,1,41,642.63,1592.1,1407.86,553.52,47.99,8.51
2024-01-02 17:00:00,1,42,642.48,1588.0,1414.47,553.86,47.35,8.49
2024-01-02 18:00:00,1,43,642.42,1604.87,1393.57,553.69,47.57,8.46
2024-01-02 19:00:00,1,44,642.38,1595.9,1408.54,553.5,47.5,8.43
2024-01-02 20:00:00,1,45,642.05,1580.05,1412.0,552.87,48.07,8.48
2024-01-02 21:00:00,1,46,642.3,1593.41,1386.75,553.59,47.7,8.47
2024-01-02 22:00:00,1,47,642.4,1588.43,1392.05,554.41,47.96,8.49
2024-01-02 23:00:00,1,48,642.88,1597.61,1384.46,554.06,47.21,8.48
2024-01-03 00:00:00,1,49,642.69,1587.85,1400.51,554.17,47.74,8.5
2024-01-03 01:00:00,1,50,642.08,1592.02,1409.51,552.88,47.94,8.44
2024-01-03 02:00:00,1,51,642.73,1595.85,1416.7,552.56,47.7,8.51
2024-01-03 03:00:00,1,52,642.54,1598.13,1403.97,553.04,48.0,8.47
2024-01-03 04:00:00,1,53,642.48,1585.85,1418.09,553.12,47.54,8.55
2024-01-03 05:00:00,1,54,642.9,1591.16,1391.14,553.71,48.12,8.44
2024-01-03 06:00:00,1,55,643.05,1590.43,1388.36,552.0,48.39,8.53
2024-01-03 07:00:00,1,56,643.05,1589.48,1403.33,553.9,47.6,8.47
2024-01-03 08:00:00,1,57,642.54,1604.12,1407.42,552.85,47.59,8.44
2024-01-03 09:00:00,1,58,642.73,1596.08,1403.81,552.65,48.16,8.45
2024-01-03 10:00:00,1,59,642.95,1586.21,1385.64,552.26,48.21,8.46
2024-01-03 11:00:00,1,60,643.17,1599.41,1403.59,551.84,47.59,8.49
2024-01-03 12:00:00,1,61,642.76,1606.77,1392.8,553.28,47.63,8.49
2024-01-03 13:00:00,1,62,642.88,1600.37,1410.72,552.79,47.68,8.45
2024-01-03 14:00:00,1,63,642.64,1585.19,1408.14,551.93,47.37,8.47
2024-01-03 15:00:00,1,64,642.64,1591.54,1396.54,551.89,47.5,8.56
2024-01-03 16:00:00,1,65,643.28,1602.19,1400.53,552.42,47.49,8.54
2024-01-03 17:00:00,1,66,643.47,1590.48,1395.78,553.58,47.57,8.49
2024-01-03 18:00:00,1,67,643.07,1597.53,1404.92,552.38,47.79,8.48
2024-01-03 19:00:00,1,68,643.43,1599.67,1414.24,551.59,47.88,8.48
2024-01-03 20:00:00,1,69,643.27,1589.6,1396.94,552.3,48.29,8.5
2024-01-03 21:00:00,1,70,643.0,1594.96,1410.52,552.24,47.53,8.44
2024-01-03 22:00:00,1,71,643.34,1576.02,1401.38,550.74,48.14,8.47
2024-01-03 23:00:00,1,72,643.73,1589.48,1399.19,552.28,47.79,8.42
2024-01-04 00:00:00,1,73,643.29,1594.27,1405.54,552.13,47.85,8.5
2024-01-04 01:00:00,1,74,643.81,1588.46,1397.37,552.64,48.07,8.51
2024-01-04 02:00:00,1,75,642.59,1605.9,1401.88,553.28,47.54,8.47
2024-01-04 03:00:00,1,76,643.66,1587.69,1396.27,552.8,48.01,8.55
2024-01-04 04:00:00,1,77,643.47,1593.79,1424.92,551.91,47.95,8.44
2024-01-04 05:00:00,1,78,643.4,1597.39,1407.74,551.36,48.06,8.43
2024-01-04 06:00:00,1,79,643.55,1605.42,1401.32,553.51,48.01,8.5
2024-01-04 07:00:00,1,80,642.97,1588.33,1409.74,551.95,48.67,8.53
2024-01-04 08:00:00,1,81,643.54,1604.1,1407.0,551.87,47.75,8.56
2024-01-04 09:00:00,1,82,643.75,1597.36,1406.22,551.8,47.8,8.48
2024-01-04 10:00:00,1,83,644.13,1591.59,1413.94,551.88,47.78,8.54
2024-01-04 11:00:00,1,84,643.57,1600.43,1415.43,551.62,47.81,8.5
2024-01-04 12:00:00,1,85,643.52,1599.03,1404.05,551.3,47.8,8.49
2024-01-04 13:00:00,1,86,643.66,1594.42,1403.85,551.26,48.36,8.54
2024-01-04 14:00:00,1,87,644.12,1598.63,1406.76,551.52,48.44,8.53
2024-01-04 15:00:00,1,88,643.99,1596.09,1388.74,551.15,47.85,8.44
2024-01-04 16:00:00,1,89,643.77,1599.28,1396.03,550.99,47.79,8.56
2024-01-04 17:00:00,1,90,644.13,1602.76,1422.19,551.43,48.19,8.56
2024-01-04 18:00:00,1,91,644.05,1608.5,1424.91,551.15,47.9,8.48
2024-01-04 19:00:00,1,92,644.36,1591.76,1408.09,552.15,48.26,8.52
2024-01-04 20:00:00,1,93,643.9,1612.18,1415.75,549.59,48.15,8.53
2024-01-04 21:00:00,1,94,644.06,1587.88,1413.59,551.78,47.64,8.52
2024-01-04 22:00:00,1,95,644.09,1598.88,1438.73,551.81,48.58,8.49
2024-01-04 23:00:00,1,96,643.81,1603.53,1421.33,549.76,48.66,8.49
2024-01-05 00:00:00,1,97,644.39,1601.9,1410.33,550.73,47.95,8.52
2024-01-05 01:00:00,1,98,644.42,1596.68,1403.12,550.65,48.04,8.57
2024-01-05 02:00:00,1,99,644.39,1599.39,1397.51,549.97,48.25,8.54
2024-01-05 03:00:00,1,100,644.37,1597.89,1414.04,550.28,48.28,8.51
2024-01-05 04:00:00,1,101,644.07,1597.53,1405.65,550.01,48.39,8.55
2024-01-05 05:00:00,1,102,644.41,1606.39,1399.9,551.66,48.81,8.41
2024-01-05 06:00:00,1,103,644.49,1603.65,1407.13,551.11,48.17,8.57
2024-01-05 07:00:00,1,104,644.4,1597.58,1403.47,551.24,47.99,8.46
2024-01-05 08:00:00,1,105,644.64,1607.36,1428.64,550.84,47.83,8.52
2024-01-05 09:00:00,1,106,644.86,1604.04,1421.65,549.67,48.04,8.49
2024-01-05 10:00:00,1,107,645.36,1607.3,1413.9,549.96,48.27,8.48
2024-01-05 11:00:00,1,108,644.9,1606.43,1427.56,550.5,48.83,8.58
2024-01-05 12:00:00,1,109,644.98,1597.92,1415.2,549.4,48.15,8.52
2024-01-05 13:00:00,1,110,644.93,1599.77,1407.02,550.49,48.39,8.55
2024-01-05 14:00:00,1,111,644.43,1607.85,1428.75,549.85,48.33,8.54
2024-01-05 15:00:00,1,112,645.05,1607.27,1420.16,549.69,48.71,8.56
2024-01-05 16:00:00,1,113,645.14,1603.73,1406.25,550.27,49.12,8.55
2024-01-05 17:00:00,1,114,645.91,1604.81,1414.15,550.04,48.22,8.49
2024-01-05 18:00:00,1,115,645.17,1612.02,1408.26,549.48,48.25,8.59
2024-01-05 19:00:00,1,116,645.38,1601.05,1403.98,550.32,48.73,8.53
2024-01-05 20:00:00,1,117,645.33,1608.14,1425.05,548.9,48.63,8.49
2024-01-05 21:00:00,1,118,645.05,1603.9,1434.18,549.84,49.0,8.54
2024-01-05 22:00:00,1,119,645.8,1604.06,1404.7,549.75,48.64,8.62
2024-01-05 23:00:00,1,120,645.74,1612.22,1422.64,549.13,48.37,8.59
2024-01-06 00:00:00,1,121,645.81,1610.84,1412.02,549.43,48.67,8.55
2024-01-06 01:00:00,1,122,645.36,1611.03,1413.78,548.4,48.84,8.55
2024-01-06 02:00:00,1,123,646.11,1614.25,1413.14,549.63,48.77,8.55
2024-01-06 03:00:00,1,124,645.33,1606.81,1410.99,548.88,48.69,8.65
2024-01-06 04:00:00,1,125,645.99,1611.05,1419.51,548.6,48.88,8.58
2024-01-06 05:00:00,1,126,646.53,1605.36,1411.9,549.46,48.93,8.59
2024-01-06 06:00:00,1,127,645.64,1609.45,1422.12,548.33,49.01,8.61
2024-01-06 07:00:00,1,128,645.83,1607.0,1419.55,547.82,48.81,8.58
2024-01-06 08:00:00,1,129,646.09,1608.64,1418.16,547.65,48.58,8.57
2024-01-06 09:00:00,1,130,645.97,1611.91,1412.46,548.86,48.69,8.57
2024-01-06 10:00:00,1,131,645.72,1603.71,1415.76,547.65,49.03,8.58
2024-01-06 11:00:00,1,132,646.27,1621.46,1428.07,549.38,48.44,8.58
2024-01-06 12:00:00,1,133,646.0,1603.16,1426.1,546.99,48.81,8.61
2024-01-06 13:00:00,1,134,646.53,1602.2,1413.12,549.17,48.6,8.59
2024-01-06 14:00:00,1,135,646.17,1616.91,1423.16,548.2,48.74,8.62
2024-01-06 15:00:00,1,136,647.01,1615.15,1429.81,547.92,49.16,8.59
2024-01-06 16:00:00,1,137,646.32,1614.53,1406.19,547.53,48.84,8.6
2024-01-06 17:00:00,1,138,646.54,1615.02,1428.9,548.08,48.81,8.5
2024-01-06 18:00:00,1,139,647.01,1610.88,1416.43,547.68,48.32,8.64
2024-01-06 19:00:00,1,140,646.33,1604.58,1430.31,548.44,49.11,8.62
2024-01-06 20:00:00,1,141,646.94,1612.16,1415.43,547.62,49.1,8.65
2024-01-06 21:00:00,1,142,647.44,1606.48,1403.01,547.56,49.73,8.45
2024-01-06 22:00:00,1,143,646.33,1620.22,1404.85,547.04,48.76,8.72
2024-01-06 23:00:00,1,144,647.14,1611.25,1425.93,547.2,49.0,8.6
2024-01-07 00:00:00,1,145,647.25,1605.58,1429.08,547.43,49.04,8.68
2024-01-07 01:00:00,1,146,647.56,1610.23,1413.78,545.52,49.66,8.55
2024-01-07 02:00:00,1,147,646.7,1617.28,1435.27,545.71,48.92,8.65
2024-01-07 03:00:00,1,148,646.72,1608.39,1402.96,547.58,49.12,8.55
2024-01-07 04:00:00,1,149,647.68,1606.03,1426.13,546.94,49.3,8.58
2024-01-07 05:00:00,1,150,647.64,1616.87,1409.19,546.49,49.12,8.75
2024-01-07 06:00:00,1,151,647.7,1617.27,1417.74,546.6,48.82,8.61
2024-01-07 07:00:00,1,152,647.82,1609.7,1428.96,546.85,49.17,8.64
2024-01-07 08:00:00,1,153,647.35,1610.29,1414.58,545.79,49.67,8.69
2024-01-07 09:00:00,1,154,647.92,1618.31,1422.54,545.42,48.54,8.67
2024-01-07 10:00:00,1,155,648.03,1599.61,1446.48,546.4,49.2,8.65
2024-01-07 11:00:00,1,156,647.53,1600.04,1419.65,544.94,48.74,8.67
2024-01-07 12:00:00,1,157,649.13,1608.21,1444.99,546.46,49.88,8.83
2024-01-07 13:00:00,1,158,648.38,1614.5,1409.89,543.81,48.27,8.64
2024-01-07 14:00:00,1,159,647.43,1621.29,1440.72,547.05,48.87,8.66
2024-01-07 15:00:00,1,160,648.67,1636.47,1458.64,546.27,49.48,8.74
2024-01-07 16:00:00,1,161,647.7,1629.21,1383.72,545.89,50.27,8.75
2024-01-07 17:00:00,1,162,648.93,1616.37,1416.27,546.75,49.24,8.76
2024-01-07 18:00:00,1,163,649.27,1618.57,1444.07,547.59,48.93,8.71
2024-01-07 19:00:00,1,164,648.0,1605.44,1428.66,546.64,50.61,8.55
2024-01-07 20:00:00,1,165,649.32,1619.28,1441.01,542.57,48.33,8.81
2024-01-07 21:00:00,1,166,649.02,1615.79,1420.75,543.21,47.8,8.56
2024-01-07 22:00:00,1,167,649.4,1624.94,1435.93,544.02,49.71,8.7
2024-01-07 23:00:00,1,168,650.29,1608.42,1431.01,544.85,49.04,8.6
2024-01-08 00:00:00,1,169,648.79,1628.79,1461.16,545.48,48.67,8.67
2024-01-08 01:00:00,1,170,648.48,1644.76,1441.11,543.48,50.0,8.71
2024-01-08 02:00:00,1,171,648.45,1620.04,1443.56,544.77,49.67,8.71
2024-01-08 03:00:00,1,172,648.58,1628.44,1426.36,543.18,49.06,8.73
2024-01-08 04:00:00,1,173,649.25,1633.55,1424.79,543.28,48.5,8.86
2024-01-08 05:00:00,1,174,649.67,1616.31,1426.37,541.85,50.26,8.74
2024-01-08 06:00:00,1,175,649.71,1626.94,1447.19,542.5,50.12,8.66
2024-01-08 07:00:00,1,176,650.26,1623.82,1427.18,541.64,49.52,8.8
2024-01-08 08:00:00,1,177,649.66,1625.66,1445.67,542.13,51.2,8.83
2024-01-08 09:00:00,1,178,651.0,1610.96,1492.7,545.51,48.72,8.56
2024-01-08 10:00:00,1,179,649.59,1625.2,1462.13,541.9,48.33,8.77
2024-01-08 11:00:00,1,180,652.34,1634.06,1430.81,548.16,49.08,8.79
2024-01-08 12:00:00,1,181,650.57,1651.87,1472.67,544.23,49.68,8.67
2024-01-08 13:00:00,1,182,649.3,1643.59,1429.17,543.56,49.97,8.88
2024-01-08 14:00:00,1,183,649.18,1666.51,1383.84,541.5,49.55,8.69
2024-01-08 15:00:00,1,184,650.72,1612.22,1412.72,544.3,50.13,8.73
2024-01-08 16:00:00,1,185,650.14,1643.87,1387.96,541.76,48.62,8.7
2024-01-08 17:00:00,1,186,651.14,1631.1,1431.98,542.98,51.25,8.72
2024-01-08 18:00:00,1,187,651.0,1671.08,1443.23,547.66,49.79,8.58
2024-01-08 19:00:00,1,188,650.56,1612.22,1493.33,542.3,51.01,8.54
2024-01-08 20:00:00,1,189,649.86,1611.78,1453.52,544.7,50.27,8.95
2024-01-08 21:00:00,1,190,649.26,1616.9,1437.34,540.81,50.42,8.62
2024-01-08 22:00:00,1,191,650.44,1585.54,1470.33,542.05,50.56,8.6
2024-01-08 23:00:00,1,192,651.9,1618.96,1375.35,545.72,50.47,8.44
