unit_number,time_cycles,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_15
1,183,649.18,1666.51,1383.84,541.5,49.55,8.69
1,184,650.72,1612.22,1412.72,544.3,50.13,8.73
1,185,650.14,1643.87,1387.96,541.76,48.62,8.7
1,186,651.14,1631.1,1431.98,542.98,51.25,8.72
1,187,651.0,1671.08,1443.23,547.66,49.79,8.58
1,188,650.56,1612.22,1493.33,542.3,51.01,8.54
1,189,649.86,1611.78,1453.52,544.7,50.27,8.95
1,190,649.26,1616.9,1437.34,540.81,50.42,8.62
1,191,650.44,1585.54,1470.33,542.05,50.56,8.6
1,192,651.9,1618.96,1375.35,545.72,50.47,8.44
2,1,641.81,1594.41,1395.18,553.44,47.82,8.43
2,2,641.6,1593.98,1407.27,554.5,47.2,8.41
2,3,642.49,1597.05,1403.31,553.88,47.39,8.44
2,4,642.3,1591.09,1416.55,553.84,47.58,8.49
2,5,641.8,1582.23,1398.0,552.79,48.1,8.42
2,6,642.68,1592.42,1396.88,554.38,48.43,8.44
2,7,642.3,1586.12,1399.85,553.25,47.68,8.44
2,8,641.91,1586.86,1397.31,554.03,47.45,8.47
2,9,641.26,1593.56,1407.24,554.15,47.66,8.35
2,10,642.7,1597.48,1385.51,554.8,47.77,8.42
2,11,641.6,1590.19,1390.58,553.2,47.41,8.45
2,12,641.52,1591.92,1390.47,552.17,48.04,8.49
2,13,642.33,1600.3,1408.65,554.09,47.57,8.42
2,14,642.75,1591.54,1415.5,555.05,47.66,8.37
2,15,642.44,1605.72,1399.18,554.71,47.71,8.47
2,16,642.2,1593.52,1398.62,554.09,47.63,8.42
2,17,642.21,1579.58,1400.79,553.66,47.76,8.39
2,18,642.29,1594.68,1410.63,554.44,47.32,8.42
2,19,642.27,1592.46,1391.85,553.36,47.34,8.43
2,20,642.13,1597.93,1402.36,554.23,47.18,8.42
2,21,642.08,1594.25,1409.02,554.24,47.65,8.35
2,22,642.03,1589.4,1404.77,554.57,47.75,8.48
2,23,641.83,1582.91,1402.0,555.58,47.65,8.49
2,24,641.98,1589.03,1409.32,554.15,48.02,8.47
2,25,641.56,1585.2,1376.01,553.6,47.52,8.4
2,26,642.04,1586.85,1406.47,553.89,47.72,8.43
2,27,641.78,1593.89,1394.51,552.83,47.19,8.44
2,28,641.75,1600.4,1383.95,553.47,47.41,8.47
2,29,642.15,1592.78,1405.06,553.63,47.73,8.47
2,30,642.52,1583.26,1412.85,553.55,47.78,8.41
2,31,642.38,1593.13,1399.29,553.95,47.44,8.45
2,32,641.64,1597.68,1409.14,553.36,47.51,8.46
2,33,641.82,1586.87,1415.11,554.51,47.08,8.5
2,34,642.41,1589.76,1412.47,553.83,47.43,8.47
2,35,641.84,1590.68,1415.43,553.82,47.8,8.48
2,36,642.07,1585.92,1407.39,553.61,47.71,8.45
2,37,642.31,1594.55,1401.43,553.89,47.69,8.5
2,38,641.87,1589.98,1386.37,554.28,47.56,8.46
2,39,642.2,1593.26,1398.62,553.26,47.55,8.41
2,40,641.77,1585.45,1393.28,553.37,47.35,8.5
2,41,642.0,1588.19,1420.46,553.57,47.76,8.47
2,42,642.29,1595.19,1399.38,552.94,47.68,8.43
2,43,641.72,1588.66,1402.12,553.24,47.7,8.43
2,44,642.34,1601.3,1406.02,553.43,47.4,8.46
2,45,642.22,1588.59,1401.5,554.23,46.92,8.47
2,46,642.4,1592.38,1416.41,553.85,47.89,8.46
2,47,642.31,1596.67,1395.6,553.79,47.42,8.46
2,48,642.66,1582.61,1403.01,554.17,47.31,8.52
2,49,642.3,1580.6,1394.63,553.57,47.78,8.49
2,50,642.14,1582.06,1389.49,553.87,47.46,8.46
2,51,642.32,1598.84,1395.92,553.56,47.9,8.49
2,52,642.46,1588.0,1401.14,553.77,47.77,8.41
2,53,642.32,1606.71,1397.67,553.24,47.79,8.47
2,54,642.33,1588.03,1395.36,552.11,47.18,8.52
2,55,642.12,1592.58,1389.0,553.48,47.96,8.44
2,56,642.14,1600.78,1400.97,554.4,47.67,8.42
2,57,641.93,1603.61,1388.23,554.08,47.49,8.43
2,58,642.89,1604.0,1408.68,554.09,47.65,8.41
2,59,642.01,1598.94,1402.64,554.23,47.07,8.42
2,60,642.19,1597.89,1388.85,553.53,47.73,8.44
2,61,642.19,1595.36,1399.25,553.58,47.3,8.4
2,62,642.69,1596.54,1395.33,553.07,47.21,8.45
2,63,642.35,1588.62,1405.04,553.23,47.16,8.49
2,64,642.82,1587.08,1414.3,553.77,47.96,8.42
2,65,642.26,1592.03,1385.43,554.11,47.44,8.52
2,66,642.56,1591.09,1403.42,553.28,48.09,8.48
2,67,642.24,1589.46,1401.01,553.08,47.48,8.5
2,68,643.15,1596.42,1408.57,553.33,47.13,8.43
2,69,642.16,1598.04,1404.52,553.67,47.31,8.49
2,70,642.63,1592.91,1395.91,552.42,48.02,8.41
2,71,642.74,1601.31,1399.88,551.89,47.61,8.49
2,72,642.69,1585.67,1395.67,552.91,47.49,8.47
2,73,642.53,1591.43,1412.6,552.49,47.71,8.48
2,74,642.56,1588.36,1403.18,552.9,47.82,8.41
2,75,642.63,1581.53,1420.18,553.09,48.01,8.42
2,76,642.59,1592.31,1402.61,552.89,48.11,8.48
2,77,642.94,1592.15,1396.86,554.01,47.57,8.42
2,78,643.33,1602.04,1389.7,553.31,47.29,8.48
2,79,642.51,1596.82,1387.18,553.27,47.57,8.41
2,80,642.29,1586.96,1389.24,553.44,47.77,8.5
2,81,642.69,1604.31,1405.99,552.36,47.41,8.41
2,82,643.51,1600.59,1408.25,553.64,47.42,8.49
2,83,642.51,1596.84,1389.53,552.95,47.81,8.49
2,84,643.26,1592.07,1411.91,553.37,47.7,8.44
2,85,643.29,1587.75,1399.6,552.3,47.73,8.49
2,86,642.64,1591.36,1405.36,551.99,47.5,8.48
2,87,643.0,1600.21,1418.65,553.39,47.66,8.45
2,88,643.33,1605.07,1412.3,553.1,47.46,8.43
2,89,642.75,1603.11,1401.91,552.3,48.01,8.39
2,90,642.82,1591.0,1396.4,552.3,48.06,8.48
2,91,642.73,1587.3,1385.16,553.47,47.2,8.41
2,92,642.62,1594.96,1398.15,552.05,47.48,8.47
2,93,642.75,1583.59,1402.82,553.73,47.31,8.46
2,94,642.6,1596.23,1395.94,552.17,47.57,8.5
2,95,643.0,1593.5,1403.75,553.07,47.75,8.46
2,96,642.78,1591.68,1405.73,552.46,47.34,8.46
2,97,643.1,1585.0,1403.12,552.99,47.51,8.5
2,98,642.58,1597.75,1399.4,552.27,47.49,8.49
2,99,643.17,1591.56,1406.87,552.47,47.86,8.49
2,100,643.34,1587.84,1409.44,552.57,47.82,8.5
2,101,642.52,1577.72,1395.76,551.91,47.59,8.42
2,102,643.25,1594.89,1418.38,552.93,47.87,8.51
2,103,643.53,1605.79,1404.91,552.15,47.66,8.5
2,104,642.82,1605.22,1406.08,552.29,47.75,8.44
2,105,643.71,1592.61,1412.4,551.8,48.34,8.47
2,106,643.35,1591.84,1408.24,550.83,48.24,8.48
2,107,643.04,1598.37,1414.83,552.22,47.46,8.48
2,108,643.26,1589.67,1408.96,553.75,48.1,8.5
2,109,643.47,1597.58,1400.98,552.74,48.1,8.54
2,110,643.34,1600.47,1409.86,552.23,47.52,8.53
2,111,643.51,1603.34,1396.44,552.05,48.12,8.43
2,112,643.09,1595.49,1407.83,552.19,48.34,8.51
2,113,643.45,1594.98,1406.68,552.47,47.55,8.54
2,114,643.0,1591.04,1405.23,551.4,47.62,8.5
2,115,643.41,1591.46,1406.07,552.74,48.21,8.53
2,116,643.2,1595.18,1390.41,552.47,47.99,8.57
2,117,643.28,1598.85,1402.54,552.44,48.08,8.53
2,118,643.89,1602.24,1408.44,552.23,48.02,8.5
2,119,643.87,1592.06,1409.18,551.95,48.05,8.53
2,120,643.76,1605.95,1398.62,552.31,47.54,8.5
2,121,643.27,1595.48,1419.39,552.22,48.26,8.49
2,122,643.53,1597.1,1400.34,551.62,48.3,8.48
2,123,644.02,1592.86,1416.99,551.45,47.89,8.56
2,124,643.72,1582.92,1412.24,551.82,47.95,8.46
2,125,644.4,1602.89,1402.72,552.65,47.51,8.56
2,126,643.85,1602.13,1424.65,550.94,48.14,8.52
2,127,643.82,1596.14,1398.07,550.77,48.16,8.44
2,128,643.7,1598.36,1417.22,551.71,47.98,8.51
2,129,643.86,1601.18,1418.1,551.61,48.34,8.42
2,130,643.8,1588.83,1403.2,551.64,47.91,8.53
2,131,644.09,1595.16,1421.91,551.65,48.19,8.54
2,132,644.19,1603.23,1407.27,551.33,47.72,8.48
2,133,643.7,1591.06,1412.26,552.32,48.03,8.51
2,134,643.56,1600.48,1412.15,550.42,47.99,8.58
2,135,643.44,1590.71,1408.75,550.85,48.12,8.49
2,136,644.17,1601.78,1417.4,551.24,47.95,8.47
2,137,643.72,1598.9,1417.4,550.28,48.03,8.57
2,138,643.43,1589.56,1394.67,551.12,48.33,8.59
2,139,644.23,1606.37,1422.29,552.18,47.96,8.51
2,140,644.89,1595.11,1395.75,551.16,47.61,8.55
2,141,644.17,1594.79,1420.15,551.24,48.63,8.57
2,142,644.45,1601.0,1421.16,550.31,48.53,8.48
2,143,644.26,1606.82,1401.35,550.65,47.73,8.5
2,144,644.24,1593.97,1407.63,550.75,48.34,8.56
2,145,644.57,1600.58,1401.54,550.75,47.99,8.58
2,146,644.24,1602.92,1409.71,551.66,48.23,8.54
2,147,644.44,1604.65,1409.03,551.19,48.24,8.48
2,148,644.49,1601.7,1418.98,550.14,48.09,8.6
2,149,644.23,1598.58,1423.92,550.91,47.94,8.5
2,150,644.76,1595.96,1424.85,551.02,47.98,8.51
2,151,644.44,1601.59,1407.4,551.36,47.92,8.54
2,152,644.3,1594.79,1410.74,551.58,47.95,8.59
2,153,644.72,1583.84,1397.64,549.98,48.19,8.56
2,154,644.32,1604.14,1405.7,550.06,48.01,8.54
2,155,644.63,1607.09,1421.81,549.75,48.43,8.55
2,156,644.66,1587.64,1427.84,550.31,48.68,8.53
2,157,645.02,1595.91,1402.36,550.69,48.07,8.55
2,158,644.87,1605.84,1408.31,550.96,48.33,8.43
2,159,644.75,1614.62,1413.57,550.27,48.42,8.52
2,160,645.04,1602.56,1416.51,550.08,48.42,8.54
2,161,645.25,1598.22,1406.87,550.31,48.31,8.49
2,162,645.03,1601.65,1418.15,549.68,48.52,8.55
2,163,644.91,1611.15,1410.25,551.38,48.45,8.53
2,164,644.55,1599.19,1414.56,549.12,47.95,8.61
2,165,644.66,1598.43,1419.79,550.14,48.59,8.6
2,166,644.92,1600.49,1415.11,551.2,48.6,8.52
2,167,644.86,1597.82,1411.31,549.94,48.12,8.54
2,168,645.03,1604.44,1414.43,549.77,48.37,8.54
2,169,645.14,1613.62,1414.81,549.62,48.57,8.53
2,170,645.32,1605.97,1412.46,549.68,48.31,8.55
2,171,645.17,1602.69,1413.65,550.56,48.71,8.52
2,172,645.38,1602.62,1430.55,548.36,49.11,8.5
2,173,645.29,1595.15,1421.4,550.56,48.17,8.57
2,174,644.72,1610.0,1413.88,548.73,48.0,8.58
2,175,645.06,1604.41,1423.0,549.38,48.52,8.52
2,176,645.34,1603.96,1413.92,549.23,48.66,8.59
2,177,645.06,1624.37,1427.67,549.79,48.38,8.53
2,178,645.64,1607.18,1420.64,548.43,48.9,8.57
2,179,645.96,1601.05,1416.54,549.61,48.07,8.59
2,180,645.91,1603.18,1421.73,550.49,48.69,8.56
2,181,645.52,1612.8,1403.76,548.41,48.31,8.58
2,182,646.07,1606.77,1407.96,549.29,49.02,8.54
2,183,645.7,1597.63,1407.55,548.72,49.11,8.55
2,184,645.6,1611.96,1419.78,549.32,48.3,8.56
2,185,645.56,1602.61,1434.29,549.03,48.37,8.53
2,186,645.69,1618.04,1438.98,548.57,48.81,8.56
2,187,645.7,1613.46,1424.85,549.2,48.45,8.51
2,188,645.91,1604.48,1423.82,549.93,48.56,8.55
2,189,645.95,1615.03,1403.31,548.68,48.59,8.56
2,190,645.95,1607.94,1414.84,549.17,48.02,8.56
2,191,646.12,1612.83,1412.84,547.91,48.6,8.56
2,192,646.39,1610.81,1414.55,548.06,48.41,8.57
2,193,646.35,1603.01,1418.84,548.86,48.48,8.59
2,194,645.67,1604.42,1416.31,549.41,49.08,8.61
2,195,645.39,1614.65,1402.96,548.67,48.28,8.55
2,196,646.48,1606.65,1427.72,548.22,48.91,8.53
2,197,645.83,1606.42,1411.55,548.35,48.59,8.54
2,198,646.22,1603.31,1423.57,547.54,48.61,8.56
2,199,645.98,1611.77,1440.3,548.59,48.94,8.57
2,200,645.83,1621.8,1413.58,548.7,48.82,8.55
2,201,646.58,1603.2,1399.23,547.84,48.9,8.54
2,202,646.69,1609.97,1419.64,547.76,49.04,8.57
2,203,646.32,1619.0,1433.03,548.17,48.65,8.6
2,204,645.7,1609.69,1441.95,547.65,48.56,8.62
2,205,646.41,1613.45,1410.58,547.83,48.41,8.57
2,206,646.77,1603.29,1428.32,549.26,48.5,8.58
2,207,646.16,1613.83,1418.48,547.58,49.84,8.55
2,208,646.79,1609.66,1422.49,547.44,49.26,8.6
2,209,646.77,1618.52,1453.26,547.16,48.33,8.56
2,210,647.04,1620.42,1406.99,548.14,48.34,8.63
2,211,646.91,1631.71,1427.28,547.37,49.04,8.51
2,212,646.52,1616.42,1430.12,546.94,49.08,8.58
2,213,647.44,1614.67,1437.99,548.46,49.1,8.62
2,214,646.94,1613.85,1426.24,548.5,48.78,8.62
2,215,647.04,1609.46,1429.16,546.76,48.85,8.76
2,216,646.7,1615.58,1420.42,545.59,49.06,8.63
2,217,646.95,1610.27,1429.28,548.03,48.97,8.55
2,218,646.8,1614.59,1421.34,546.46,47.95,8.61
2,219,647.16,1625.35,1434.74,547.74,48.85,8.51
2,220,648.09,1604.12,1421.27,545.11,48.57,8.61
2,221,646.68,1624.55,1432.06,547.73,49.07,8.57
2,222,646.6,1626.68,1426.5,545.65,50.44,8.68
2,223,648.16,1612.99,1443.81,547.48,49.19,8.59
2,224,647.38,1593.1,1426.64,546.7,48.87,8.61
2,225,647.19,1608.39,1400.53,545.65,49.51,8.58
2,226,648.12,1628.26,1447.54,546.14,49.3,8.75
2,227,647.31,1614.78,1413.82,547.22,49.29,8.61
2,228,648.66,1604.53,1417.89,546.54,49.4,8.76
2,229,648.1,1609.97,1418.91,547.0,50.21,8.69
2,230,647.51,1624.99,1451.72,548.48,48.48,8.67
2,231,649.04,1622.06,1393.13,544.47,49.39,8.66
2,232,647.54,1613.41,1483.15,548.01,48.6,8.67
2,233,648.36,1612.11,1448.02,546.21,49.47,8.49
2,234,648.16,1611.98,1433.85,544.97,48.62,8.62
2,235,648.81,1605.8,1429.19,544.37,48.93,8.71
2,236,649.03,1636.62,1435.62,545.66,49.01,8.64
2,237,648.16,1613.32,1440.29,546.95,49.8,8.53
2,238,647.72,1632.68,1443.01,545.59,49.79,8.64
2,239,648.53,1636.96,1441.74,547.59,48.45,8.79
2,240,647.86,1630.76,1433.19,543.75,49.28,8.76
2,241,649.65,1612.6,1427.89,545.52,48.8,8.65
2,242,648.49,1623.75,1429.01,543.82,48.45,8.74
2,243,648.21,1618.35,1428.36,545.88,49.15,8.62
2,244,648.63,1606.7,1455.5,546.52,49.1,8.5
2,245,647.64,1623.59,1444.98,544.68,50.98,8.57
2,246,647.94,1603.05,1371.94,541.57,49.64,8.8
2,247,649.51,1636.29,1447.14,545.39,48.39,8.64
2,248,648.25,1613.27,1437.75,545.66,48.97,8.64
2,249,648.02,1623.0,1433.47,545.55,50.12,8.64
2,250,649.22,1624.47,1425.66,546.69,50.92,8.85
2,251,649.76,1616.78,1459.25,543.24,48.24,8.83
2,252,649.47,1629.58,1455.87,545.76,48.03,8.89
2,253,649.74,1613.92,1417.49,546.47,50.85,8.66
2,254,648.47,1634.62,1444.56,541.89,49.76,8.71
2,255,648.01,1600.82,1413.04,545.02,48.8,8.52
2,256,650.33,1623.8,1403.52,543.67,49.91,8.83
2,257,648.96,1652.66,1421.26,544.25,47.43,8.56
2,258,649.07,1606.37,1457.0,544.86,49.52,8.71
2,259,650.4,1611.65,1459.7,543.44,49.8,8.57
2,260,649.84,1631.2,1449.47,543.05,50.3,8.62
2,261,649.82,1626.04,1455.13,544.13,48.73,8.6
2,262,651.3,1629.17,1450.39,542.19,49.65,8.62
2,263,649.02,1631.82,1421.61,542.1,48.82,8.63
2,264,650.4,1634.63,1449.09,545.0,49.83,8.63
2,265,649.72,1643.15,1458.98,541.8,48.86,8.79
2,266,649.96,1631.47,1458.28,544.85,49.29,8.57
2,267,651.13,1620.39,1470.18,544.42,48.79,8.73
2,268,650.3,1636.78,1458.03,540.48,50.26,8.85
2,269,650.39,1659.08,1448.95,542.25,50.46,8.64
2,270,650.93,1623.01,1468.78,545.53,49.5,8.62
2,271,649.69,1607.92,1439.4,541.51,49.76,8.68
