rms,spectral_centroid,zero_crossing_rate,label
0.4308,1729.3366,0.0923,0
0.3112,1844.7012,0.0715,0
0.2696,1751.6242,0.0762,0
0.3104,1989.6877,0.1075,0
0.2818,1454.5488,0.0682,0
0.3505,2090.8923,0.0995,1
0.3109,1586.8501,0.091,0
0.3042,2007.8997,0.091,0
0.3375,1759.6437,0.0734,0
0.258,1570.2661,0.0859,0
0.2977,2000.6942,0.064,0
0.33,1728.9394,0.0816,0
0.2355,1642.2563,0.1127,0
0.3257,1754.4092,0.0396,0
0.2087,1699.0162,0.0684,0
0.3009,1822.1187,0.0957,0
0.3154,1753.807,0.0851,0
0.3448,2294.9858,0.1195,1
0.2881,1885.3356,0.0367,0
0.3243,1872.3303,0.0648,0
0.292,1882.5349,0.0808,0
0.4503,2375.9845,0.1313,1
0.3119,1680.5844,0.1106,0
0.2145,2040.5928,0.1037,0
0.2497,1758.9629,0.1029,0
0.1757,1987.3255,0.1124,0
0.2834,1955.1275,0.0499,0
0.2982,1841.2651,0.0798,0
0.2853,2023.0501,0.0431,0
0.3031,1686.3805,0.0874,0
0.3397,1943.0868,0.1483,1
0.2943,2083.0562,0.0969,0
0.3913,2347.9905,0.1394,1
0.2587,1511.4432,0.0818,0
0.2761,2061.3498,0.0831,0
0.3463,1813.9952,0.0623,0
0.3571,2056.6945,0.0867,0
0.2956,1486.5799,0.0831,0
0.3508,2104.5284,0.1296,0
0.2938,2407.7312,0.072,0
0.3272,1752.7679,0.0969,0
0.2995,1862.2648,0.0648,0
0.3829,1968.2355,0.0784,0
0.2803,1754.0215,0.077,0
0.2308,1882.2921,0.0697,0
0.3705,1791.6402,0.0763,0
0.2939,2196.5151,0.0593,0
0.4056,2435.6033,0.158,1
0.2702,1572.6207,0.0321,0
0.3873,2057.593,0.1042,1
0.3288,1847.6413,0.0961,0
0.3886,2501.8261,0.1348,1
0.3428,1712.4625,0.0607,0
0.2341,1704.7533,0.1107,0
0.3342,2053.2024,0.0506,0
0.3801,2251.6363,0.1221,1
0.2698,1844.8242,0.0992,0
0.239,1855.7695,0.0793,0
0.1526,1811.9756,0.0966,0
0.2913,1583.1636,0.0795,0
0.2763,2019.4348,0.0969,0
0.325,2318.4411,0.1144,1
0.295,2052.5497,0.0828,0
0.2095,1696.2844,0.0809,0
0.2882,1575.8883,0.0606,0
0.4558,1796.9182,0.1132,1
0.3304,1600.6348,0.0868,0
0.2959,1959.1763,0.0923,0
0.3295,1745.3987,0.095,0
0.2355,2098.3447,0.0814,0
0.229,1649.7258,0.1108,0
0.3105,1565.1086,0.0775,0
0.3104,2241.254,0.1301,0
0.274,1811.9528,0.1394,0
0.3915,2199.1183,0.1237,1
0.2981,2086.8189,0.0434,0
0.3326,1651.2901,0.115,0
0.3215,1925.7672,0.0589,0
0.3089,1850.1797,0.0598,0
0.268,1738.5597,0.0702,0
0.2704,1690.9163,0.0945,0
0.2437,1661.0473,0.0771,0
0.3267,1800.2156,0.1048,0
0.3564,1398.5147,0.0868,0
0.3256,2130.9701,0.0773,0
0.3995,1952.4343,0.1429,1
0.3934,2250.3466,0.1284,1
0.2763,2001.2588,0.0919,0
0.3172,2040.2207,0.1173,1
0.3063,1937.9599,0.1272,0
0.2974,1523.2724,0.0691,0
0.4643,2513.4746,0.1484,1
0.2661,1455.2972,0.0818,0
0.4962,2156.0014,0.1008,1
0.2723,2033.1058,0.0771,0
0.375,1876.1584,0.1335,1
0.2504,2106.8677,0.087,0
0.3547,1732.8714,0.0709,0
0.339,1590.9395,0.1119,0
0.3025,1699.3566,0.0841,0
0.3129,1669.6888,0.0723,0
0.284,1736.4504,0.0852,0
0.4647,1773.1945,0.1343,1
0.3625,1874.246,0.1069,0
0.2994,1555.2307,0.0932,0
0.4148,2534.9561,0.1246,1
0.3834,2145.7503,0.1348,1
0.3304,2033.6593,0.0898,0
0.4022,1735.3762,0.0471,0
0.3223,2059.7187,0.0901,1
0.2553,1909.338,0.0789,0
0.2606,1942.8181,0.0632,0
0.4802,2319.3739,0.1509,1
0.276,2064.2087,0.0844,0
0.4245,2126.9279,0.1381,1
0.286,2036.6335,0.0927,0
0.3067,2085.3762,0.1,0
0.2856,1853.0178,0.0844,0
0.4086,2203.2013,0.1265,1
0.361,1855.3614,0.0635,0
0.248,2016.7176,0.0993,0
0.3324,1617.3487,0.0931,0
0.2633,1500.4703,0.1028,0
0.4457,2284.4531,0.1289,1
0.268,1896.7213,0.0787,0
0.4759,1952.1921,0.128,1
0.2471,1531.7397,0.0822,0
0.2636,1421.8255,0.0914,0
0.3158,1872.1301,0.0582,0
0.2827,1645.1281,0.0924,0
0.2576,1721.0441,0.047,0
0.3891,1676.2007,0.1366,1
0.2723,2141.652,0.0669,0
0.2886,2092.8863,0.1081,0
0.2386,2091.009,0.1023,0
0.3137,1351.0589,0.0788,0
0.279,1937.4646,0.083,0
0.3116,2062.0943,0.0636,0
0.2388,1586.5707,0.0462,0
0.3381,1669.0509,0.0603,0
0.3868,2101.6408,0.127,1
0.3554,1908.6176,0.0831,0
0.4118,2452.2501,0.1187,1
0.2813,1687.7692,0.0892,0
0.4411,2397.0336,0.1097,1
0.2475,2034.7279,0.1014,0
0.4531,2421.972,0.1196,1
0.3052,1883.6532,0.1366,0
0.2766,1619.6761,0.062,0
0.3025,1653.7726,0.085,0
0.2171,1651.4079,0.0689,0
0.3102,1773.6561,0.1196,0
0.4278,2124.0384,0.1522,1
0.3306,2110.8895,0.0701,0
0.2936,1756.0446,0.1192,0
0.3548,1666.4532,0.0654,0
0.3212,1674.7142,0.0728,0
0.2694,2069.6552,0.1137,0
0.3008,1819.4761,0.0646,0
0.3074,1584.2934,0.0933,0
0.4144,2482.3769,0.1057,1
0.3099,1528.5384,0.0927,0
0.3269,1898.3491,0.0569,0
0.3406,1616.1604,0.0868,0
0.4024,2166.3573,0.1555,1
0.2399,1547.6971,0.0873,0
0.401,2162.3697,0.1739,1
0.3494,1873.9361,0.0828,0
0.3029,1899.3741,0.0341,0
0.3193,1887.5161,0.0918,0
0.2945,1682.3745,0.0831,0
0.2944,1925.2759,0.1048,0
0.3921,1793.2483,0.1223,1
0.2285,2178.6099,0.0933,0
0.369,1511.1563,0.1102,0
0.3196,1914.4884,0.0796,0
0.2652,1581.9758,0.0188,0
0.3154,1680.181,0.0771,0
0.3275,1536.8955,0.0857,0
0.2978,1715.2162,0.0837,0
0.294,1932.5737,0.1001,0
0.347,1817.3509,0.0838,0
0.2643,1847.2421,0.0725,0
0.2622,1965.4872,0.1139,0
0.336,2105.1231,0.0698,0
0.3262,1366.5197,0.0515,0
0.4436,2150.6486,0.1135,1
0.2537,1486.033,0.0636,0
0.2923,1397.6354,0.0873,0
0.3946,2394.0944,0.1441,1
0.3229,1354.0476,0.0894,0
0.3614,1887.7442,0.0692,0
0.4172,2277.0917,0.1133,1
0.2927,1738.2072,0.0814,0
0.3226,1879.6377,0.0301,0
0.4245,2253.9384,0.1586,1
0.3484,1955.461,0.0694,0
0.2137,2016.6076,0.1132,0
0.2469,2146.4532,0.1017,0
0.3101,1853.0135,0.099,0
0.2807,1809.082,0.0918,0
0.2418,1837.0439,0.0807,0
0.2948,1561.8479,0.0822,0
0.263,1997.0684,0.097,0
0.2575,1922.8295,0.0946,0
0.2337,1396.4278,0.0718,0
0.2679,1844.4928,0.0591,0
0.3351,1496.6391,0.062,0
0.3171,1842.8713,0.0849,0
0.3129,1778.107,0.0702,0
0.2524,1458.1745,0.1195,0
0.4409,2127.5056,0.1441,1
0.3095,1874.9551,0.0933,0
0.2794,1711.3932,0.0929,0
0.3512,2282.3094,0.1134,1
0.2929,1809.8464,0.1028,0
0.3003,1655.7184,0.0605,0
0.3273,1592.2956,0.0866,0
0.2793,1836.8898,0.0848,0
0.346,2099.6833,0.0704,0
0.3531,1842.8623,0.0583,0
0.3404,1899.5085,0.1271,0
0.2105,1503.593,0.0793,0
0.292,1588.491,0.0598,0
0.2843,1703.4638,0.0799,0
0.3004,1877.3626,0.0569,0
0.3134,1938.3767,0.0537,0
0.2266,1886.7164,0.0698,0
0.4328,2051.5991,0.1351,1
0.2895,1509.0298,0.0738,0
0.3038,1813.05,0.1139,0
0.3256,1651.7558,0.0568,0
0.332,2360.1875,0.0694,1
0.3913,2264.456,0.1246,1
0.3108,2038.9037,0.0771,0
0.2976,1488.6008,0.0771,0
0.2631,1638.4091,0.0538,0
0.2867,1815.4317,0.0871,0
0.5121,2556.8287,0.1108,1
0.2701,1924.4412,0.0711,0
0.2881,2069.2934,0.1079,0
0.3658,1928.412,0.1256,1
0.3459,2370.3909,0.1212,1
0.2832,1707.4105,0.0792,0
0.2997,1618.1261,0.0992,0
0.3106,1509.0958,0.087,0
0.3233,1903.4978,0.0951,0
0.3417,1931.1935,0.0458,0
0.3301,2044.4875,0.0783,0
0.4139,1906.5864,0.1072,1
0.1583,1844.3451,0.1053,0
0.4061,2350.2484,0.1212,1
0.2948,1865.4982,0.1065,0
0.2758,1728.9617,0.0747,0
0.3092,2005.5075,0.1186,0
0.2826,1915.4243,0.1001,0
0.3536,1737.7303,0.0813,0
0.3818,1736.4722,0.0862,0
0.2933,1866.6963,0.0621,0
0.3377,1642.9663,0.0924,0
0.2319,2425.1208,0.074,0
0.2646,1915.3465,0.0515,0
0.4591,1918.2008,0.1369,1
0.1814,1600.896,0.0909,0
0.2569,2003.1796,0.1024,0
0.2585,1339.6445,0.0757,0
0.3054,1206.5653,0.0588,0
0.2206,1754.9227,0.0472,0
0.2722,1973.4842,0.0642,0
0.2865,1694.7827,0.0859,0
0.3997,1794.0248,0.0966,0
0.2839,1265.9879,0.0725,0
0.354,2384.3493,0.1109,1
0.4229,2173.2826,0.1178,1
0.3114,1813.4362,0.0724,0
0.3884,1834.2797,0.0864,0
0.2407,1218.3853,0.0985,0
0.2062,2180.1734,0.1061,0
0.2891,1459.239,0.0609,0
0.3363,1630.5311,0.1082,0
0.4105,1941.4714,0.0648,0
0.35,2527.1559,0.1143,1
